Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1958,481.229,295.606,161.568,39.53,122.038,134.038,70.947,71.313,48.491,17.629,24.876,5.986,22.823,-0.366,0.538,20.56,16.414,4.146,20.022,12.951,7.071,114.138,71.521,62.22,9.301,42.617
1959,521.654,317.13,172.607,44.888,127.719,144.523,85.669,81.752,53.124,18.149,28.345,6.63,28.628,3.917,0.397,22.725,16.458,6.267,22.328,15.31,7.018,118.458,73.579,60.945,12.633,44.879
1960,542.382,331.18,177.015,45.625,131.39,154.165,86.477,83.245,56.389,19.568,29.679,7.142,26.856,3.232,4.204,27.045,20.453,6.592,22.841,15.22,7.621,120.52,72.875,60.901,11.974,47.645
1961,562.209,341.475,178.808,44.206,134.602,162.667,86.584,83.61,56.599,19.715,28.904,7.979,27.011,2.974,4.913,27.602,20.947,6.655,22.688,15.053,7.635,129.237,77.379,64.543,12.836,51.858
1962,603.922,362.557,188.969,49.465,139.504,173.588,96.977,90.876,61.233,20.778,32.056,8.399,29.643,6.101,4.101,29.066,21.709,7.357,24.965,16.869,8.096,140.287,85.518,69.701,15.818,54.768
1963,637.45,382.035,198.154,54.228,143.927,183.88,103.284,97.663,64.808,21.199,34.367,9.243,32.855,5.621,4.939,31.074,23.345,7.729,26.135,17.713,8.422,147.193,87.875,70.002,17.873,59.318
1964,684.46,410.632,212.252,59.556,152.696,198.38,112.15,107.329,72.229,23.737,38.684,9.808,35.1,4.821,6.914,35.019,26.767,8.252,28.104,19.392,8.713,154.763,90.256,69.728,20.528,64.507
1965,742.289,442.973,229.675,66.39,163.285,213.298,129.645,120.398,85.235,28.321,45.779,11.135,35.163,9.247,5.618,37.146,27.974,9.173,31.529,22.247,9.282,164.053,93.196,70.583,22.613,70.858
1966,813.414,479.919,249.619,71.745,177.874,230.3,144.188,130.552,97.174,31.349,53.023,12.802,33.378,13.636,3.863,40.92,31.089,9.831,37.057,26.334,10.723,185.444,106.575,82.471,24.104,78.869
1967,859.959,506.685,258.991,73.981,185.009,247.695,142.7,132.834,99.207,31.511,53.693,14.003,33.627,9.866,3.555,43.467,32.547,10.92,39.912,27.761,12.151,207.018,120.006,95.034,24.972,87.012
1968,940.651,556.852,284.617,84.828,199.788,272.236,156.923,147.871,107.672,33.557,58.532,15.582,40.199,9.053,1.35,47.906,35.721,12.185,46.556,33.946,12.61,225.526,127.963,101.357,26.606,97.563
1969,1017.615,603.639,304.678,90.483,214.195,298.96,173.562,164.389,120.013,37.699,65.163,17.152,44.375,9.173,1.431,51.922,38.744,13.178,50.491,36.813,13.678,238.984,131.193,102.067,29.126,107.791
1970,1073.303,646.724,318.794,89.988,228.806,327.931,170.049,168.048,124.638,40.287,66.404,17.947,43.411,2.001,3.948,59.709,45.037,14.671,55.76,40.855,14.905,252.581,132.805,100.71,32.095,119.776
1971,1164.85,699.937,342.116,102.446,239.67,357.821,196.824,188.569,130.416,42.679,69.059,18.678,58.153,8.256,0.621,62.963,46.196,16.767,62.342,46.55,15.792,267.468,134.478,97.995,36.483,132.99
1972,1279.11,768.153,373.815,116.444,257.371,394.338,228.14,219.034,146.635,47.173,78.885,20.577,72.399,9.107,-3.372,70.843,52.586,18.257,74.216,56.934,17.282,286.189,141.646,100.714,40.932,144.544
1973,1425.376,849.575,416.635,130.527,286.108,432.939,266.925,251.048,172.726,54.983,95.062,22.681,78.322,15.878,4.111,95.269,75.771,19.498,91.159,71.843,19.316,304.765,146.185,102.635,43.55,158.58
1974,1545.243,930.161,451.538,130.177,321.361,478.623,274.526,260.536,191.07,61.237,104.316,25.517,69.467,13.99,-0.815,126.65,103.494,23.156,127.465,104.52,22.945,341.37,158.835,109.894,48.94,182.536
1975,1684.904,1030.547,491.334,142.165,349.17,539.213,257.253,263.509,196.776,61.35,107.615,27.811,66.733,-6.256,15.977,138.706,112.49,26.216,122.73,99.0,23.73,381.128,173.729,117.976,55.753,207.399
1976,1873.412,1147.666,546.305,168.624,377.68,601.361,323.224,306.109,219.346,65.915,121.242,32.189,86.762,17.116,-1.631,149.515,121.484,28.031,151.146,124.632,26.514,404.153,184.8,124.952,59.848,219.353
1977,2081.826,1273.975,600.384,191.963,408.421,673.591,396.613,374.289,259.06,74.578,148.665,35.817,115.229,22.324,-23.094,159.349,128.41,30.939,182.443,152.629,29.814,434.331,200.339,134.408,65.931,233.992
1978,2351.599,1422.252,663.567,213.348,450.218,758.686,478.377,452.586,314.576,93.584,180.634,40.358,138.01,25.791,-25.367,186.883,149.907,36.976,212.25,177.409,34.84,476.336,218.922,145.181,73.741,257.414
1979,2627.333,1585.42,737.938,226.34,511.598,847.482,539.657,521.673,373.832,117.701,208.062,48.068,147.841,17.984,-22.545,230.129,187.266,42.863,252.674,212.787,39.887,524.802,240.574,160.587,79.987,284.228
1980,2857.307,1750.667,799.794,226.391,573.402,950.874,530.098,536.43,406.91,136.17,216.386,54.354,129.52,-6.331,-13.056,280.772,230.428,50.344,293.828,248.57,45.258,589.598,274.87,183.405,91.465,314.728
1981,3207.041,1933.951,869.368,243.938,625.43,1064.583,631.229,601.42,472.938,167.314,240.852,64.773,128.482,29.809,-12.52,305.239,245.206,60.033,317.758,267.814,49.944,654.381,313.98,213.372,100.608,340.401
1982,3343.789,2071.256,899.29,253.032,646.258,1171.966,581.034,595.947,485.099,177.564,234.862,72.674,110.848,-14.914,-19.974,283.21,222.55,60.66,303.184,250.542,52.642,711.473,348.336,245.404,102.932,363.137
1983,3634.038,2281.605,973.783,295.031,678.753,1307.821,637.518,643.269,482.156,154.344,246.47,81.343,161.113,-5.751,-51.642,276.996,214.049,62.947,328.638,272.677,55.961,766.557,382.357,272.055,110.302,384.2
1984,4037.613,2492.34,1063.7,342.156,721.545,1428.64,820.089,754.684,564.32,177.397,291.874,95.048,190.364,65.405,-102.727,302.38,231.286,71.094,405.107,336.316,68.791,827.91,411.805,298.764,113.041,416.106
1985,4338.979,2712.83,1137.609,380.365,757.244,1575.221,829.65,807.826,607.75,194.518,307.905,105.327,200.077,21.824,-114.018,303.211,227.489,75.722,417.229,343.295,73.934,910.516,452.909,329.501,123.408,457.607
1986,4579.631,2886.278,1195.627,421.439,774.188,1690.651,849.146,842.575,607.763,176.527,317.693,113.543,234.812,6.571,-131.869,320.998,231.447,89.552,452.867,370.006,82.861,976.076,481.658,352.359,129.298,494.418
1987,4855.215,3076.279,1256.297,442.022,814.275,1819.982,892.176,865.027,615.237,174.202,320.919,120.116,249.79,27.149,-144.77,363.943,265.554,98.389,508.713,414.768,93.945,1031.53,502.785,372.385,130.4,528.745
1988,5236.438,3330.012,1337.309,475.053,862.256,1992.703,936.963,918.481,662.28,182.79,346.816,132.674,256.2,18.482,-109.393,444.601,332.054,112.547,553.993,452.125,101.869,1078.855,511.44,382.101,129.339,567.416
1989,5641.58,3576.758,1423.805,494.33,929.475,2152.953,999.701,972.008,715.993,193.716,372.16,150.117,256.014,27.693,-86.741,504.289,374.75,129.539,591.031,484.792,106.239,1151.862,534.104,391.228,142.876,617.758
1990,5963.144,3808.994,1491.301,497.079,994.222,2317.693,993.448,978.903,739.234,202.917,371.891,164.426,239.669,14.546,-77.855,551.873,403.265,148.608,629.728,508.071,121.657,1238.556,562.377,405.007,157.37,676.179
1991,6158.129,3943.449,1497.434,477.183,1020.252,2446.015,944.344,944.738,723.584,183.606,360.849,179.129,221.153,-0.394,-28.614,594.931,430.135,164.795,623.544,500.72,122.824,1298.951,582.936,414.041,168.896,716.014
1992,6520.327,4197.559,1563.268,508.081,1055.186,2634.291,1013.006,996.678,741.937,172.572,381.698,187.667,254.741,16.328,-34.738,633.053,455.308,177.745,667.791,544.927,122.864,1344.5,588.453,406.465,181.988,756.047
1993,6858.559,4451.984,1642.347,551.532,1090.814,2809.637,1106.826,1086.012,799.204,177.151,425.141,196.912,286.808,20.814,-65.173,654.799,467.723,187.076,719.973,592.761,127.212,1364.922,580.169,391.646,188.523,784.753
1994,7287.236,4720.965,1746.554,607.171,1139.382,2974.411,1256.484,1192.7,868.853,186.768,476.38,205.705,323.847,63.785,-92.487,720.937,518.371,202.566,813.424,676.812,136.612,1402.274,574.684,382.114,192.57,827.591
1995,7639.749,4962.59,1815.533,635.738,1179.795,3147.057,1317.489,1286.316,962.247,207.27,528.128,226.849,324.069,31.174,-89.761,812.81,592.442,220.369,902.572,757.449,145.123,1449.431,576.682,377.159,199.523,872.749
1996,8073.122,5244.596,1917.671,676.295,1241.376,3326.925,1432.055,1401.255,1043.194,224.583,565.309,253.303,358.061,30.799,-96.376,867.589,628.785,238.805,963.966,807.448,156.518,1492.848,579.159,377.261,201.898,913.688
1997,8577.552,5536.79,2006.506,715.53,1290.976,3530.285,1595.6,1524.674,1149.088,250.265,610.859,287.964,375.585,70.927,-101.971,953.803,699.887,253.916,1055.774,885.654,170.12,1547.133,583.289,371.99,211.299,963.844
1998,9062.817,5877.248,2108.439,779.293,1329.146,3768.809,1736.671,1672.952,1254.144,276.004,660.014,318.126,418.807,63.719,-162.711,952.979,692.565,260.414,1115.69,930.751,184.939,1611.609,585.515,368.753,216.763,1026.093
1999,9631.172,6283.758,2287.062,855.568,1431.493,3996.696,1887.059,1826.243,1364.477,285.724,713.626,365.127,461.766,60.816,-259.55,992.91,711.724,281.187,1252.46,1051.21,201.251,1719.905,610.722,383.254,227.468,1109.183
2000,10250.952,6767.179,2453.172,912.572,1540.6,4314.008,2038.408,1983.864,1498.432,321.005,766.088,411.339,485.432,54.544,-381.073,1096.111,795.054,301.056,1477.184,1251.173,226.011,1826.438,633.069,392.57,240.499,1193.369
2001,10581.929,7073.801,2525.593,941.515,1584.078,4548.208,1934.842,1973.126,1460.067,333.51,711.517,415.04,513.059,-38.284,-376.747,1026.812,739.568,287.244,1403.559,1176.188,227.371,1950.034,670.212,413.162,257.05,1279.822
2002,10929.108,7348.941,2598.805,985.368,1613.437,4750.136,1930.417,1910.443,1352.848,286.986,659.64,406.222,557.594,19.975,-439.745,997.979,706.582,291.397,1437.724,1198.852,238.872,2089.495,743.097,458.932,284.164,1346.398
2003,11456.45,7740.749,2722.597,1017.801,1704.797,5018.152,2027.056,2012.961,1375.88,286.605,670.618,418.656,637.082,14.094,-521.955,1035.165,733.875,301.29,1557.12,1299.036,258.084,2210.6,826.769,521.221,305.548,1383.83
2004,12217.196,8231.96,2902.021,1080.574,1821.447,5329.939,2281.253,2217.186,1467.369,307.653,721.896,437.819,749.817,64.068,-634.141,1176.363,827.975,348.388,1810.504,1513.62,296.883,2338.123,892.123,569.878,322.245,1446.0
2005,13039.197,8769.066,3082.923,1128.61,1954.313,5686.143,2534.72,2477.207,1620.986,352.958,794.894,473.134,856.221,57.513,-739.903,1301.58,919.344,382.236,2041.482,1722.751,318.732,2475.313,947.787,609.437,338.35,1527.526
2006,13815.583,9277.236,3239.655,1158.333,2081.322,6037.58,2700.954,2631.965,1793.801,425.186,862.283,506.332,838.164,68.989,-786.453,1470.17,1043.084,427.086,2256.623,1900.64,355.983,2623.846,1001.189,640.814,360.375,1622.657
2007,14474.228,9746.594,3367.031,1188.043,2178.988,6379.563,2673.011,2639.06,1948.563,510.302,893.432,544.828,690.497,33.95,-735.933,1659.295,1159.734,499.561,2395.228,2002.72,392.507,2790.556,1051.025,679.264,371.761,1739.531
2008,14769.862,10050.083,3363.221,1098.761,2264.46,6686.862,2477.613,2506.855,1990.871,571.107,845.381,574.384,515.984,-29.241,-740.87,1835.28,1291.025,544.255,2576.151,2148.678,427.472,2983.035,1151.96,750.336,401.625,1831.075
2009,14478.067,9891.218,3180.022,1012.121,2167.901,6711.196,1929.664,2080.435,1690.432,455.817,670.261,564.354,390.004,-150.772,-419.153,1582.774,1057.391,525.382,2001.927,1588.115,413.812,3076.338,1220.785,787.565,433.22,1855.553
2010,15048.971,10260.256,3317.825,1048.962,2268.862,6942.432,2165.473,2111.555,1734.981,379.784,777.027,578.17,376.575,53.917,-532.309,1857.247,1272.92,584.326,2389.555,1947.044,442.512,3155.551,1300.157,827.971,472.187,1855.394
2011,15599.732,10698.857,3518.121,1093.499,2424.622,7180.736,2332.562,2286.3,1907.465,404.457,881.274,621.733,378.836,46.262,-579.617,2115.864,1468.456,647.408,2695.48,2231.132,464.349,3147.929,1299.763,833.978,465.785,1848.166
2012,16253.97,11047.363,3637.739,1144.221,2493.518,7409.624,2621.754,2550.542,2118.527,479.435,983.401,655.691,432.015,71.212,-551.617,2217.7,1529.597,688.103,2769.317,2293.265,476.052,3136.471,1287.01,814.175,472.835,1849.46
2013,16880.683,11388.233,3742.183,1191.786,2550.398,7646.05,2838.327,2732.85,2221.312,491.463,1035.25,694.599,511.538,105.477,-478.453,2287.922,1563.863,724.059,2766.375,2293.888,472.487,3132.576,1227.384,764.319,463.065,1905.193
2014,17608.138,11874.45,3886.577,1247.26,2639.317,7987.873,3073.981,2989.189,2425.155,574.608,1109.086,741.461,564.034,84.792,-508.9,2378.545,1616.954,761.591,2887.445,2389.313,498.132,3168.607,1217.072,744.053,473.019,1951.535
2015,18295.019,12297.438,3955.13,1315.794,2639.336,8342.308,3288.481,3148.359,2507.504,584.524,1144.101,778.879,640.855,140.123,-524.32,2270.622,1496.686,773.936,2794.942,2289.591,505.351,3233.42,1222.777,730.372,492.405,2010.643
2016,18804.913,12726.849,4033.036,1356.495,2676.541,8693.813,3278.305,3239.237,2528.995,566.206,1119.782,843.007,710.242,39.068,-503.272,2235.558,1447.588,787.97,2738.83,2218.696,520.134,3303.031,1237.353,729.434,507.919,2065.678
2017,19612.102,13290.626,4212.214,1415.911,2796.304,9078.411,3467.664,3434.99,2661.1,594.9,1159.953,906.246,773.891,32.674,-543.328,2388.26,1546.657,841.603,2931.589,2369.9,561.688,3397.141,1266.054,748.294,517.761,2131.087
2018,20656.516,13934.442,4414.208,1488.831,2925.377,9520.234,3724.77,3668.362,2856.471,636.633,1227.62,992.217,811.892,56.408,-593.077,2538.089,1669.294,868.795,3131.166,2559.05,572.116,3590.381,1346.295,795.065,551.23,2244.086
2019,21539.982,14437.543,4532.817,1523.644,3009.173,9904.726,3893.734,3820.778,2993.653,677.866,1240.901,1074.887,827.125,72.955,-577.29,2539.391,1644.755,894.635,3116.681,2516.686,599.995,3785.995,1419.5,849.506,569.993,2366.496
2020,21375.281,14231.353,4708.625,1621.7,3086.925,9522.728,3763.386,3793.858,2873.312,624.609,1112.497,1136.206,920.546,-30.472,-618.554,2163.837,1421.647,742.19,2782.391,2305.093,477.298,3999.096,1524.564,884.863,639.7,2474.532
2021,23725.645,16119.682,5499.445,1991.864,3507.581,10620.237,4246.545,4219.673,3087.241,627.872,1196.318,1263.051,1132.432,26.872,-849.233,2568.697,1747.242,821.455,3417.93,2839.604,578.326,4208.652,1604.398,909.095,695.303,2604.254
2022,26054.614,17690.013,5938.667,2077.929,3860.738,11751.346,4844.333,4663.096,3484.561,755.106,1305.765,1423.69,1178.535,181.237,-937.889,3036.43,2070.333,966.097,3974.319,3256.89,717.429,4458.157,1640.5,929.596,710.904,2817.657
2023,27811.517,18833.15,6115.666,2141.043,3974.623,12717.484,5023.712,4970.003,3855.957,926.792,1404.659,1524.507,1114.045,53.709,-786.496,3073.36,2024.358,1049.002,3859.856,3092.569,767.287,4741.151,1765.7,1003.971,761.729,2975.451
2024,29298.013,19896.009,6261.53,2178.085,4083.445,13634.48,5259.32,5205.774,4022.935,934.799,1484.254,1603.882,1182.839,53.546,-898.46,3215.368,2057.99,1157.378,4113.828,3267.309,846.519,5041.143,1892.402,1082.721,809.681,3148.741
